13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
13,13,13,13,13,0,1,1,1,1,1,1,1,2,13
13,0,1,1,1,9,4,4,4,4,4,4,4,5,13
13,3,4,4,4,4,4,4,4,4,4,4,4,5,13
13,3,4,4,4,4,4,4,4,4,4,4,4,5,13
13,6,12,4,4,4,4,4,4,4,4,4,4,5,13
13,13,3,4,4,4,4,4,4,4,4,4,4,5,13
13,13,3,4,4,4,4,4,4,4,4,4,4,5,13
13,13,3,4,4,4,4,4,4,4,4,4,11,8,13
13,0,9,4,4,4,4,4,4,4,4,4,5,13,13
13,3,4,4,4,4,4,4,4,4,4,4,5,13,13
13,3,4,4,4,4,4,4,4,4,4,4,5,13,13
13,3,4,4,4,11,7,7,7,12,4,4,5,13,13
13,6,7,7,7,8,13,13,13,6,7,7,8,13,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
